Start Migration
2
>>>>>>>>>>>>>>>>>>>>>>>>>>Add Server<<<<<<<<<<<<<<<<<<<<<<<<<<<
OK
OK
kvrockskvrockskvrockskvrockskvrocksnode1 0.0.0.0 40001
Adding nodes: [{'host': '127.0.0.1', 'port': '40002', 'master': None}]
Old topo: kvrockskvrockskvrockskvrockskvrocksnode1 0.0.0.0 40001 master - 0-16383 

Finished updating topo, version number: 2
b'OK'
Finished
>>>>>>>>>>>>>>>>>>>>>>>>>>Load Balance<<<<<<<<<<<<<<<<<<<<<<<<<
Migration method: 2
Cluster version: 100 Setting Response: OK 	 Client ID: 14
Cluster version: 100 Setting Response: OK 	 Client ID: 6
Cluster version: 200 Setting Response: OK 	 Client ID: 14
Cluster version: 200 Setting Response: OK 	 Client ID: 6
Cluster version: 300 Setting Response: OK 	 Client ID: 14
Cluster version: 300 Setting Response: OK 	 Client ID: 6
Cluster version: 400 Setting Response: OK 	 Client ID: 14
Cluster version: 400 Setting Response: OK 	 Client ID: 6
Cluster version: 500 Setting Response: OK 	 Client ID: 14
Cluster version: 500 Setting Response: OK 	 Client ID: 6
Cluster version: 600 Setting Response: OK 	 Client ID: 14
Cluster version: 600 Setting Response: OK 	 Client ID: 6
Cluster version: 700 Setting Response: OK 	 Client ID: 14
Cluster version: 700 Setting Response: OK 	 Client ID: 6
Cluster version: 800 Setting Response: OK 	 Client ID: 14
Cluster version: 800 Setting Response: OK 	 Client ID: 6
Cluster version: 900 Setting Response: OK 	 Client ID: 14
Cluster version: 900 Setting Response: OK 	 Client ID: 6
Cluster version: 1000 Setting Response: OK 	 Client ID: 14
Cluster version: 1000 Setting Response: OK 	 Client ID: 6
Cluster version: 1100 Setting Response: OK 	 Client ID: 14
Cluster version: 1100 Setting Response: OK 	 Client ID: 6
Cluster version: 1200 Setting Response: OK 	 Client ID: 14
Cluster version: 1200 Setting Response: OK 	 Client ID: 6
Cluster version: 1300 Setting Response: OK 	 Client ID: 14
Cluster version: 1300 Setting Response: OK 	 Client ID: 6
Cluster version: 1400 Setting Response: OK 	 Client ID: 14
Cluster version: 1400 Setting Response: OK 	 Client ID: 6
Cluster version: 1500 Setting Response: OK 	 Client ID: 14
Cluster version: 1500 Setting Response: OK 	 Client ID: 6
Cluster version: 1600 Setting Response: OK 	 Client ID: 14
Cluster version: 1600 Setting Response: OK 	 Client ID: 6
Cluster version: 1700 Setting Response: OK 	 Client ID: 14
Cluster version: 1700 Setting Response: OK 	 Client ID: 6
Cluster version: 1800 Setting Response: OK 	 Client ID: 14
Cluster version: 1800 Setting Response: OK 	 Client ID: 6
Cluster version: 1900 Setting Response: OK 	 Client ID: 14
